kepid,kepoi_name,koi_disposition_pred,koi_disposition_pred_value
11714107,K08063.01,CONFIRMED,0.5356009006500244
11904835,K08068.01,CONFIRMED,0.5642601847648621
8329346,K08275.01,FALSE POSITIVE,0.0005231248796917498
8637903,K08276.01,CONFIRMED,0.8293752670288086
8673511,K08277.01,FALSE POSITIVE,0.007946646772325039
9011955,K08279.01,FALSE POSITIVE,0.005938056390732527
9159288,K08280.01,FALSE POSITIVE,0.007999720051884651
8873873,K08174.01,FALSE POSITIVE,0.0028629626613110304
9592621,K08286.01,FALSE POSITIVE,0.0005863503320142627
12156930,K08076.01,FALSE POSITIVE,0.018433284014463425
12266099,K08077.01,FALSE POSITIVE,0.06803972274065018
12307496,K08078.01,FALSE POSITIVE,0.0017906789435073733
12602999,K08082.01,CONFIRMED,0.5742753148078918
9268159,K08180.01,FALSE POSITIVE,0.0020054527558386326
9468848,K08183.01,CONFIRMED,0.937265932559967
9873004,K07970.01,CONFIRMED,0.8913838267326355
9899345,K07973.01,FALSE POSITIVE,0.0044458964839577675
9906688,K07976.01,CONFIRMED,0.530940592288971
2284957,K08085.01,FALSE POSITIVE,0.0012024203315377235
3663850,K08089.01,FALSE POSITIVE,0.0036705308593809605
12168280,K08297.01,FALSE POSITIVE,0.09967880696058273
9938836,K07978.01,FALSE POSITIVE,0.13906845450401306
10011213,K07982.01,FALSE POSITIVE,0.00047752889804542065
10028127,K08193.01,FALSE POSITIVE,0.0186419989913702
10128825,K07986.01,FALSE POSITIVE,0.33324486017227173
10155286,K07988.01,FALSE POSITIVE,0.0019555718172341585
